claim_id,date_submitted,franchise_id,item_category,quantity,requested_total,carrier_approved_total,target_outcome,rate,unit_price,qty
CLM-11756,12/08/2025,Franchise_NY_12,Dehumidifier Rental,,1566.04,1071.64,0,,$31.96,49.0
CLM-83260,"February 27, 2025",Franchise_TX_01,Drywall Repair,49.0,1515.57,1515.57,1,,30.93,
CLM-65517,"January 23, 2025",Franchise_TX_01,Baseboard Replacement,29.0,2469.93,2014.33,0,,85.17,
CLM-66070,05/16/2025,Franchise_NY_12,Antimicrobial Treatment,,4177.74,4177.74,1,,$99.47,42.0
CLM-76575,"December 03, 2025",Franchise_TX_01,Dehumidifier Rental,14.0,1394.26,559.97,0,,99.59,
CLM-72121,2025-01-22,Franchise_FL_04,Water Extraction,11.0,1592.69,1592.69,1,144.79,,
CLM-32107,2025-12-18,Franchise_FL_04,Antimicrobial Treatment,26.0,2785.12,1919.21,0,107.12,,
CLM-21617,2025-05-18,Franchise_FL_04,Dehumidifier Rental,35.0,5047.35,4364.46,0,144.21,,
CLM-31946,"January 18, 2025",Franchise_TX_01,Water Extraction - MISC,33.0,2397.78,2397.78,1,,72.66,
CLM-44182,2025-01-06,Franchise_FL_04,Dehumidifier Rental,19.0,1003.77,893.7,0,52.83,,
CLM-38034,08/17/2025,Franchise_NY_12,Water Extraction,,1467.36,841.13,0,,$61.14,24.0
CLM-26536,12/02/2025,Franchise_NY_12,Dehumidifier Rental,,3836.12,3836.12,1,,$132.28,29.0
CLM-21847,"December 03, 2025",Franchise_TX_01,Dehumidifier Rental,48.0,2017.92,2017.92,1,,42.04,
CLM-71772,2025-10-08,Franchise_FL_04,Drywall Repair,35.0,5143.95,2838.97,0,146.97,,
CLM-70761,2025-11-24,Franchise_FL_04,Water Extraction,38.0,2049.72,1821.96,0,53.94,,
CLM-21926,2025-02-09,Franchise_FL_04,Drywall Repair,48.0,792.48,321.2,0,16.51,,
CLM-26325,"June 16, 2025",Franchise_TX_01,Water Extraction,39.0,3021.72,3021.72,1,,77.48,
CLM-26526,11/01/2025,Franchise_NY_12,Dehumidifier Rental,,5932.28,5932.28,1,,$137.96,43.0
CLM-54238,2025-08-25,Franchise_FL_04,Water Extraction,18.0,756.72,433.41,0,42.04,,
CLM-68743,05/25/2025,Franchise_NY_12,Dehumidifier Rental,,6932.64,6932.64,1,,$144.43,48.0
CLM-22559,2025-09-23,Franchise_FL_04,Water Extraction,22.0,1923.68,1475.93,0,87.44,,
CLM-56956,"May 11, 2025",Franchise_TX_01,Antimicrobial Treatment,26.0,1825.98,1641.46,0,,70.23,
CLM-47421,"May 21, 2025",Franchise_TX_01,Baseboard Replacement,42.0,2234.4,1713.9,0,,53.2,
CLM-36064,2025-09-08,Franchise_FL_04,Drywall Repair,35.0,2540.3,1874.96,0,72.58,,
CLM-24400,05/09/2025,Franchise_NY_12,Dehumidifier Rental,,1265.71,1265.71,1,,$26.93,47.0
CLM-84073,2025-01-19,Franchise_FL_04,Dehumidifier Rental,43.0,2306.95,2306.95,1,53.65,,
CLM-81620,12/24/2025,Franchise_NY_12,Drywall Repair,,917.19,538.73,0,,$33.97,27.0
CLM-25862,03/19/2025,Franchise_NY_12,Antimicrobial Treatment,,1201.48,1201.48,1,,$42.91,28.0
CLM-32311,"May 14, 2025",Franchise_TX_01,Water Extraction,16.0,1341.12,1341.12,1,,83.82,
CLM-45984,2025-02-11,Franchise_FL_04,Antimicrobial Treatment,41.0,5103.27,5103.27,1,124.47,,
CLM-65278,05/28/2025,Franchise_NY_12,Dehumidifier Rental,,779.24,779.24,1,,$111.32,7.0
CLM-28326,02/19/2025,Franchise_NY_12,Antimicrobial Treatment,,2165.04,2165.04,1,,$120.28,18.0
CLM-17315,"September 03, 2025",Franchise_TX_01,Baseboard Replacement,22.0,1342.0,1034.37,0,,61.0,
CLM-79858,2025-04-25,Franchise_FL_04,Water Extraction,17.0,1843.48,1843.48,1,108.44,,
CLM-60740,"January 05, 2025",Franchise_TX_01,Drywall Repair,7.0,325.78,141.29,0,,46.54,
CLM-92833,07/16/2025,Franchise_NY_12,Antimicrobial Treatment,,3850.2,3850.2,1,,$124.2,31.0
CLM-58800,"March 08, 2025",Franchise_TX_01,Antimicrobial Treatment,37.0,1935.84,1010.36,0,,52.32,
CLM-67690,2025-09-29,Franchise_FL_04,Drywall Repair,37.0,,1092.21,0,45.37,,
CLM-97280,09/06/2025,Franchise_NY_12,Drywall Repair,,1831.13,1831.13,1,,$49.49,37.0
CLM-90162,04/06/2025,Franchise_NY_12,Antimicrobial Treatment,,1307.84,1307.84,1,,$40.87,32.0
CLM-73591,2025-05-27,Franchise_FL_04,Drywall Repair,30.0,2562.6,1846.77,0,85.42,,
CLM-49466,05/21/2025,Franchise_NY_12,Baseboard Replacement,,2836.16,1917.37,0,,$88.63,32.0
CLM-29262,05/29/2025,Franchise_NY_12,Baseboard Replacement,,474.43,313.66,0,,$43.13,11.0
CLM-29280,2025-10-24,Franchise_FL_04,Dehumidifier Rental,26.0,2885.74,2885.74,1,110.99,,
CLM-11849,10/30/2025,Franchise_NY_12,Baseboard Replacement,,3018.0,3018.0,1,,$125.75,24.0
CLM-51915,04/09/2025,Franchise_NY_12,Dehumidifier Rental,,4689.72,4689.72,1,,$130.27,36.0
CLM-11248,11/05/2025,Franchise_NY_12,Antimicrobial Treatment,,810.88,453.2,0,,$115.84,7.0
CLM-79088,06/16/2025,Franchise_NY_12,Antimicrobial Treatment,,822.75,822.75,1,,$54.85,15.0
CLM-11692,"November 14, 2025",Franchise_TX_01,Dehumidifier Rental - MISC,18.0,1791.72,971.73,0,,99.54,
CLM-55317,2025-12-08,Franchise_FL_04,Water Extraction,20.0,586.6,586.6,1,29.33,,
CLM-41160,2025-05-14,Franchise_FL_04,Drywall Repair,41.0,3154.54,2383.81,0,76.94,,
CLM-48694,2025-11-13,Franchise_FL_04,Antimicrobial Treatment,29.0,570.43,346.84,0,19.67,,
CLM-88897,03/13/2025,Franchise_NY_12,Antimicrobial Treatment,,2235.64,2235.64,1,,$101.62,22.0
CLM-56470,"April 03, 2025",Franchise_TX_01,Water Extraction - MISC,7.0,817.11,403.49,0,,116.73,
CLM-44407,2025-06-14,Franchise_FL_04,Baseboard Replacement,23.0,2471.81,2471.81,1,107.47,,
CLM-16068,"December 06, 2025",Franchise_TX_01,Drywall Repair,43.0,6095.68,2645.28,0,,141.76,
CLM-45219,"June 16, 2025",Franchise_TX_01,Dehumidifier Rental,26.0,2128.62,2128.62,1,,81.87,
CLM-27701,2025-10-21,Franchise_FL_04,Baseboard Replacement,12.0,1336.68,1336.68,1,111.39,,
CLM-94482,10/25/2025,Franchise_NY_12,Drywall Repair,,869.67,707.52,0,,$32.21,27.0
CLM-76086,05/03/2025,Franchise_NY_12,Baseboard Replacement,,1879.04,914.21,0,,$117.44,16.0
CLM-48808,06/08/2025,Franchise_NY_12,Dehumidifier Rental,,873.31,735.1,0,,$37.97,23.0
CLM-98692,2025-06-25,Franchise_FL_04,Drywall Repair,38.0,,3761.62,1,98.99,,
CLM-92718,06/11/2025,Franchise_NY_12,Baseboard Replacement,,4340.16,4340.16,1,,$135.63,32.0
CLM-65676,2025-10-11,Franchise_FL_04,Baseboard Replacement,35.0,1843.45,1843.45,1,52.67,,
CLM-65781,2025-09-06,Franchise_FL_04,Antimicrobial Treatment,35.0,2982.35,2682.99,0,85.21,,
CLM-32830,2025-09-15,Franchise_FL_04,Drywall Repair,47.0,2730.23,2050.4,0,58.09,,
CLM-29716,05/21/2025,Franchise_NY_12,Antimicrobial Treatment,,1601.34,1151.68,0,,$41.06,39.0
CLM-67530,"August 07, 2025",Franchise_TX_01,Dehumidifier Rental,13.0,1000.35,515.02,0,,76.95,
CLM-26114,"September 08, 2025",Franchise_TX_01,Water Extraction,19.0,2304.51,1687.86,0,,121.29,
CLM-87074,"October 07, 2025",Franchise_TX_01,Baseboard Replacement,37.0,1945.09,1945.09,1,,52.57,
CLM-87732,2025-09-25,Franchise_FL_04,Water Extraction,50.0,7141.0,7141.0,1,142.82,,
CLM-82002,"October 28, 2025",Franchise_TX_01,Baseboard Replacement,33.0,4092.99,4092.99,1,,124.03,
CLM-99310,"September 19, 2025",Franchise_TX_01,Antimicrobial Treatment,26.0,2185.82,1827.06,0,,84.07,
CLM-26779,2025-07-23,Franchise_FL_04,Water Extraction,3.0,243.93,103.5,0,81.31,,
CLM-36386,2025-07-02,Franchise_FL_04,Baseboard Replacement,31.0,2816.66,1960.35,0,90.86,,
CLM-34303,2025-09-08,Franchise_FL_04,Water Extraction,47.0,3152.76,3152.76,1,67.08,,
CLM-64112,07/26/2025,Franchise_NY_12,Water Extraction,,5123.36,5123.36,1,,$124.96,41.0
CLM-43495,2025-06-05,Franchise_FL_04,Drywall Repair,23.0,,3054.4,1,132.8,,
CLM-90185,01/24/2025,Franchise_NY_12,Water Extraction,,1819.84,1637.06,0,,$41.36,44.0
CLM-92250,"March 29, 2025",Franchise_TX_01,Dehumidifier Rental,25.0,880.75,450.61,0,,35.23,
CLM-49195,2025-05-11,Franchise_FL_04,Water Extraction,21.0,361.41,361.41,1,17.21,,
CLM-86353,01/21/2025,Franchise_NY_12,Water Extraction,,1271.4,1043.32,0,,$127.14,10.0
CLM-43187,"January 03, 2025",Franchise_TX_01,Water Extraction - MISC,23.0,2801.63,2801.63,1,,121.81,
CLM-93259,2025-07-01,Franchise_FL_04,Dehumidifier Rental,17.0,2489.48,1065.59,0,146.44,,
CLM-84105,"December 10, 2025",Franchise_TX_01,Antimicrobial Treatment,16.0,510.24,510.24,1,,31.89,
CLM-68862,"February 17, 2025",Franchise_TX_01,Dehumidifier Rental,31.0,2749.08,2749.08,1,,88.68,
CLM-27870,2025-05-11,Franchise_FL_04,Baseboard Replacement,5.0,,66.62,0,32.75,,
CLM-13535,03/30/2025,Franchise_NY_12,Dehumidifier Rental,,2555.88,1437.84,0,,$134.52,19.0
CLM-81319,2025-03-13,Franchise_FL_04,Antimicrobial Treatment,34.0,,2221.9,1,65.35,,
CLM-26831,10/24/2025,Franchise_NY_12,Baseboard Replacement,,182.88,75.86,0,,$45.72,4.0
CLM-15806,"January 16, 2025",Franchise_TX_01,Water Extraction,22.0,643.28,555.41,0,,29.24,
CLM-32516,08/05/2025,Franchise_NY_12,Dehumidifier Rental,,385.71,385.71,1,,$128.57,3.0
CLM-66013,11/04/2025,Franchise_NY_12,Drywall Repair,,4014.72,3494.12,0,,$118.08,34.0
CLM-51191,09/29/2025,Franchise_NY_12,Antimicrobial Treatment,,883.26,670.25,0,,$98.14,9.0
CLM-10759,2025-04-12,Franchise_FL_04,Antimicrobial Treatment,35.0,3404.8,3404.8,1,97.28,,
CLM-45873,07/22/2025,Franchise_NY_12,Baseboard Replacement,,133.97,133.97,1,,$133.97,1.0
CLM-59675,"August 08, 2025",Franchise_TX_01,Antimicrobial Treatment,24.0,2095.44,2095.44,1,,87.31,
CLM-24991,"January 19, 2025",Franchise_TX_01,Dehumidifier Rental,33.0,726.0,545.59,0,,22.0,
CLM-21756,01/10/2025,Franchise_NY_12,Baseboard Replacement,,3485.33,3485.33,1,,$112.43,31.0
CLM-59361,2025-06-23,Franchise_FL_04,Antimicrobial Treatment,50.0,2402.0,2402.0,1,48.04,,
CLM-88946,"December 25, 2025",Franchise_TX_01,Antimicrobial Treatment,13.0,1608.49,1608.49,1,,123.73,
CLM-85771,2025-06-08,Franchise_FL_04,Antimicrobial Treatment,36.0,551.52,551.52,1,15.32,,
CLM-23713,"September 13, 2025",Franchise_TX_01,Baseboard Replacement - MISC,2.0,292.64,254.85,0,,146.32,
CLM-21229,2025-05-15,Franchise_FL_04,Water Extraction,29.0,,3101.84,1,106.96,,
CLM-92515,"March 24, 2025",Franchise_TX_01,Water Extraction,8.0,410.0,183.2,0,,51.25,
CLM-81579,09/30/2025,Franchise_NY_12,Water Extraction,,6317.56,6317.56,1,,$146.92,43.0
CLM-49421,2025-01-26,Franchise_FL_04,Baseboard Replacement,17.0,1348.27,1348.27,1,79.31,,
CLM-18821,2025-09-21,Franchise_FL_04,Antimicrobial Treatment,1.0,41.89,41.89,1,41.89,,
CLM-58723,2025-10-04,Franchise_FL_04,Dehumidifier Rental,46.0,5779.44,3672.67,0,125.64,,
CLM-42969,2025-03-21,Franchise_FL_04,Dehumidifier Rental,43.0,5828.65,5828.65,1,135.55,,
CLM-16660,2025-09-05,Franchise_FL_04,Drywall Repair,42.0,4701.9,4701.9,1,111.95,,
CLM-28384,2025-09-07,Franchise_FL_04,Dehumidifier Rental,13.0,1825.07,1370.43,0,140.39,,
CLM-13306,02/21/2025,Franchise_NY_12,Antimicrobial Treatment,,933.6,933.6,1,,$62.24,15.0
CLM-31253,2025-07-25,Franchise_FL_04,Dehumidifier Rental,28.0,,607.39,0,34.19,,
CLM-46920,2025-10-08,Franchise_FL_04,Antimicrobial Treatment,13.0,603.46,513.75,0,46.42,,
CLM-41690,10/08/2025,Franchise_NY_12,Water Extraction,,932.58,932.58,1,,$34.54,27.0
CLM-65707,05/16/2025,Franchise_NY_12,Antimicrobial Treatment,,934.96,441.05,0,,$30.16,31.0
CLM-89132,"January 07, 2025",Franchise_TX_01,Drywall Repair,37.0,3699.63,2438.55,0,,99.99,
CLM-29398,2025-06-16,Franchise_FL_04,Drywall Repair,3.0,441.54,441.54,1,147.18,,
CLM-72645,"November 19, 2025",Franchise_TX_01,Drywall Repair - MISC,43.0,5043.04,5043.04,1,,117.28,
CLM-67652,09/07/2025,Franchise_NY_12,Antimicrobial Treatment,,1559.36,713.83,0,,$48.73,32.0
CLM-71420,2025-02-23,Franchise_FL_04,Dehumidifier Rental,37.0,730.75,543.55,0,19.75,,
CLM-21026,2025-12-10,Franchise_FL_04,Baseboard Replacement,9.0,,461.88,0,77.53,,
CLM-68181,08/31/2025,Franchise_NY_12,Water Extraction,,4248.0,2653.25,0,,$84.96,50.0
CLM-98935,2025-02-23,Franchise_FL_04,Drywall Repair,14.0,1061.06,914.11,0,75.79,,
CLM-76718,"September 04, 2025",Franchise_TX_01,Baseboard Replacement,11.0,1227.71,1227.71,1,,111.61,
CLM-95125,2025-10-07,Franchise_FL_04,Drywall Repair,27.0,1185.03,756.06,0,43.89,,
CLM-10030,"January 11, 2025",Franchise_TX_01,Baseboard Replacement,49.0,985.88,985.88,1,,20.12,
CLM-64430,02/24/2025,Franchise_NY_12,Antimicrobial Treatment,,2780.81,2780.81,1,,$64.67,43.0
CLM-79857,02/27/2025,Franchise_NY_12,Drywall Repair,,1540.11,1540.11,1,,$46.67,33.0
CLM-20826,2025-01-09,Franchise_FL_04,Drywall Repair,9.0,250.38,207.78,0,27.82,,
CLM-13017,"March 25, 2025",Franchise_TX_01,Water Extraction,4.0,561.12,561.12,1,,140.28,
CLM-28328,2025-10-27,Franchise_FL_04,Water Extraction,2.0,143.84,124.1,0,71.92,,
CLM-91436,09/02/2025,Franchise_NY_12,Dehumidifier Rental,,4594.25,4594.25,1,,$97.75,47.0
CLM-85230,10/23/2025,Franchise_NY_12,Dehumidifier Rental,,3003.52,1352.61,0,,$93.86,32.0
CLM-57540,2025-08-20,Franchise_FL_04,Baseboard Replacement,17.0,1476.79,1322.01,0,86.87,,
CLM-91368,"March 01, 2025",Franchise_TX_01,Baseboard Replacement,5.0,344.4,344.4,1,,68.88,
CLM-65183,2025-09-01,Franchise_FL_04,Baseboard Replacement,14.0,305.2,305.2,1,21.8,,
CLM-64033,06/14/2025,Franchise_NY_12,Antimicrobial Treatment,,6156.92,3616.83,0,,$139.93,44.0
CLM-46861,2025-05-27,Franchise_FL_04,Water Extraction,43.0,1892.43,1409.5,0,44.01,,
CLM-64065,2025-10-08,Franchise_FL_04,Water Extraction,30.0,971.7,694.67,0,32.39,,
CLM-82703,2025-11-14,Franchise_FL_04,Drywall Repair,9.0,390.15,180.27,0,43.35,,
CLM-61006,"December 03, 2025",Franchise_TX_01,Dehumidifier Rental - MISC,1.0,83.04,83.04,1,,83.04,
CLM-21729,2025-08-08,Franchise_FL_04,Drywall Repair,14.0,264.46,264.46,1,18.89,,
CLM-54789,2025-08-07,Franchise_FL_04,Water Extraction,44.0,,1959.31,0,90.95,,
CLM-28300,06/19/2025,Franchise_NY_12,Baseboard Replacement,,5292.64,4761.92,0,,$139.28,38.0
CLM-36796,09/08/2025,Franchise_NY_12,Drywall Repair,,2207.31,1435.53,0,,$105.11,21.0
CLM-17077,2025-11-07,Franchise_FL_04,Baseboard Replacement,1.0,27.87,22.4,0,27.87,,
CLM-66347,"August 10, 2025",Franchise_TX_01,Dehumidifier Rental,36.0,4375.8,3788.56,0,,121.55,
CLM-77337,05/25/2025,Franchise_NY_12,Dehumidifier Rental,,930.51,930.51,1,,$132.93,7.0
CLM-30372,2025-02-28,Franchise_FL_04,Water Extraction,8.0,328.4,328.4,1,41.05,,
CLM-94345,"August 02, 2025",Franchise_TX_01,Water Extraction,2.0,124.08,124.08,1,,62.04,
CLM-60212,05/02/2025,Franchise_NY_12,Antimicrobial Treatment,,4438.44,2973.9,0,,$123.29,36.0
CLM-84017,"October 03, 2025",Franchise_TX_01,Drywall Repair,45.0,3845.7,3845.7,1,,85.46,
CLM-68808,"June 24, 2025",Franchise_TX_01,Drywall Repair - MISC,28.0,2274.72,2274.72,1,,81.24,
CLM-50426,"April 10, 2025",Franchise_TX_01,Antimicrobial Treatment,38.0,4044.34,3301.9,0,,106.43,
CLM-70995,2025-08-01,Franchise_FL_04,Antimicrobial Treatment,47.0,6155.12,6155.12,1,130.96,,
CLM-52787,"June 20, 2025",Franchise_TX_01,Baseboard Replacement,18.0,2457.72,2457.72,1,,136.54,
CLM-55941,"November 26, 2025",Franchise_TX_01,Drywall Repair,49.0,1643.46,727.13,0,,33.54,
CLM-30019,"February 21, 2025",Franchise_TX_01,Drywall Repair,43.0,3830.44,3830.44,1,,89.08,
CLM-97666,2025-03-31,Franchise_FL_04,Antimicrobial Treatment,27.0,3204.9,3204.9,1,118.7,,
CLM-69129,05/05/2025,Franchise_NY_12,Drywall Repair,,657.2,513.72,0,,$21.2,31.0
CLM-36819,11/18/2025,Franchise_NY_12,Dehumidifier Rental,,4797.1,4797.1,1,,$97.9,49.0
CLM-29011,2025-09-13,Franchise_FL_04,Baseboard Replacement,23.0,843.64,367.59,0,36.68,,
CLM-43941,"December 31, 2025",Franchise_TX_01,Drywall Repair,18.0,1096.56,1096.56,1,,60.92,
CLM-84217,2025-08-01,Franchise_FL_04,Drywall Repair,42.0,2420.04,2420.04,1,57.62,,
CLM-57216,"May 30, 2025",Franchise_TX_01,Baseboard Replacement,20.0,2005.6,2005.6,1,,100.28,
CLM-16561,2025-11-07,Franchise_FL_04,Antimicrobial Treatment,43.0,2299.21,1690.67,0,53.47,,
CLM-67606,2025-06-26,Franchise_FL_04,Drywall Repair,46.0,3906.78,2884.13,0,84.93,,
CLM-67016,03/13/2025,Franchise_NY_12,Antimicrobial Treatment,,2837.25,2837.25,1,,$63.05,45.0
CLM-43072,06/17/2025,Franchise_NY_12,Antimicrobial Treatment,,286.2,286.2,1,,$95.4,3.0
CLM-53612,05/25/2025,Franchise_NY_12,Water Extraction,,1994.23,1414.26,0,,$64.33,31.0
CLM-27424,"August 02, 2025",Franchise_TX_01,Drywall Repair,26.0,396.5,396.5,1,,15.25,
CLM-16381,"June 05, 2025",Franchise_TX_01,Baseboard Replacement,7.0,123.55,86.49,0,,17.65,
CLM-56805,12/25/2025,Franchise_NY_12,Dehumidifier Rental,,2846.34,2030.31,0,,$105.42,27.0
CLM-98163,04/02/2025,Franchise_NY_12,Dehumidifier Rental,,390.78,307.14,0,,$15.03,26.0
CLM-27956,08/03/2025,Franchise_NY_12,Water Extraction,,1945.68,1945.68,1,,$44.22,44.0
CLM-62691,"March 22, 2025",Franchise_TX_01,Water Extraction,43.0,2570.97,1790.68,0,,59.79,
CLM-53123,"January 17, 2025",Franchise_TX_01,Antimicrobial Treatment,34.0,2727.82,2050.54,0,,80.23,
CLM-27232,"August 30, 2025",Franchise_TX_01,Baseboard Replacement,46.0,5428.92,5428.92,1,,118.02,
CLM-79985,08/05/2025,Franchise_NY_12,Antimicrobial Treatment,,2687.78,2687.78,1,,$58.43,46.0
CLM-67627,10/02/2025,Franchise_NY_12,Antimicrobial Treatment,,2153.8,874.61,0,,$48.95,44.0
CLM-80756,2025-01-24,Franchise_FL_04,Antimicrobial Treatment,13.0,874.9,456.4,0,67.3,,
CLM-57256,2025-11-04,Franchise_FL_04,Dehumidifier Rental,49.0,4813.27,4813.27,1,98.23,,
CLM-26337,01/16/2025,Franchise_NY_12,Water Extraction,,227.96,183.04,0,,$56.99,4.0
CLM-94575,2025-09-28,Franchise_FL_04,Water Extraction,40.0,1311.6,1142.19,0,32.79,,
CLM-82228,2025-07-24,Franchise_FL_04,Baseboard Replacement,27.0,4007.88,4007.88,1,148.44,,
CLM-22102,"May 30, 2025",Franchise_TX_01,Baseboard Replacement,10.0,905.1,905.1,1,,90.51,
CLM-13547,"January 24, 2025",Franchise_TX_01,Water Extraction,40.0,4286.8,4286.8,1,,107.17,
CLM-14706,2025-09-09,Franchise_FL_04,Antimicrobial Treatment,35.0,1649.2,1217.8,0,47.12,,
CLM-90223,2025-10-15,Franchise_FL_04,Water Extraction,22.0,399.08,271.98,0,18.14,,
CLM-85802,2025-01-19,Franchise_FL_04,Drywall Repair,6.0,,533.4,1,88.9,,
CLM-98324,04/21/2025,Franchise_NY_12,Dehumidifier Rental,,469.62,469.62,1,,$78.27,6.0
CLM-61613,02/05/2025,Franchise_NY_12,Water Extraction,,4320.64,4320.64,1,,$135.02,32.0
CLM-73973,2025-10-29,Franchise_FL_04,Antimicrobial Treatment,38.0,4986.36,3579.65,0,131.22,,
CLM-82327,2025-05-18,Franchise_FL_04,Water Extraction,11.0,852.39,852.39,1,77.49,,
CLM-54595,"March 20, 2025",Franchise_TX_01,Antimicrobial Treatment,26.0,1913.08,1913.08,1,,73.58,
CLM-11415,2025-09-19,Franchise_FL_04,Drywall Repair,5.0,138.5,91.45,0,27.7,,
CLM-61315,"May 12, 2025",Franchise_TX_01,Dehumidifier Rental - MISC,32.0,4087.04,3270.69,0,,127.72,
CLM-48065,12/21/2025,Franchise_NY_12,Drywall Repair,,1397.48,1397.48,1,,$49.91,28.0
CLM-72765,2025-11-02,Franchise_FL_04,Water Extraction,2.0,151.04,151.04,1,75.52,,
CLM-17593,2025-01-25,Franchise_FL_04,Baseboard Replacement,19.0,,1435.83,1,75.57,,
CLM-49109,2025-10-06,Franchise_FL_04,Baseboard Replacement,6.0,334.92,284.66,0,55.82,,
CLM-42959,2025-08-16,Franchise_FL_04,Antimicrobial Treatment,29.0,609.29,473.24,0,21.01,,
CLM-77484,2025-04-07,Franchise_FL_04,Water Extraction,21.0,1036.14,1036.14,1,49.34,,
CLM-95212,"January 03, 2025",Franchise_TX_01,Drywall Repair,48.0,4221.12,4221.12,1,,87.94,
CLM-20824,2025-03-10,Franchise_FL_04,Antimicrobial Treatment,32.0,4319.36,2048.94,0,134.98,,
CLM-31356,05/07/2025,Franchise_NY_12,Drywall Repair,,895.62,543.66,0,,$27.14,33.0
CLM-95197,2025-11-04,Franchise_FL_04,Water Extraction,3.0,379.35,379.35,1,126.45,,
CLM-37140,"June 16, 2025",Franchise_TX_01,Baseboard Replacement,9.0,385.65,208.12,0,,42.85,
CLM-74835,06/06/2025,Franchise_NY_12,Baseboard Replacement,,1977.6,1977.6,1,,$41.2,48.0
CLM-29942,2025-01-12,Franchise_FL_04,Antimicrobial Treatment,44.0,3919.52,3919.52,1,89.08,,
CLM-36172,"November 25, 2025",Franchise_TX_01,Antimicrobial Treatment,25.0,3228.0,2420.51,0,,129.12,
CLM-91178,2025-05-29,Franchise_FL_04,Baseboard Replacement,3.0,56.64,39.72,0,18.88,,
CLM-67289,06/12/2025,Franchise_NY_12,Water Extraction,,2273.85,1427.17,0,,$73.35,31.0
CLM-91491,06/04/2025,Franchise_NY_12,Dehumidifier Rental,,5764.92,3220.73,0,,$137.26,42.0
CLM-35148,"February 03, 2025",Franchise_TX_01,Water Extraction,16.0,1756.96,977.8,0,,109.81,
CLM-13664,2025-03-31,Franchise_FL_04,Baseboard Replacement,11.0,857.89,857.89,1,77.99,,
CLM-14139,2025-05-11,Franchise_FL_04,Water Extraction,22.0,2816.66,2816.66,1,128.03,,
CLM-50332,2025-08-30,Franchise_FL_04,Water Extraction,7.0,,429.17,1,61.31,,
CLM-50949,2025-12-09,Franchise_FL_04,Antimicrobial Treatment,37.0,3167.57,3167.57,1,85.61,,
CLM-84192,11/18/2025,Franchise_NY_12,Water Extraction,,820.64,820.64,1,,$17.84,46.0
CLM-60632,2025-10-02,Franchise_FL_04,Baseboard Replacement,48.0,1905.12,1713.77,0,39.69,,
CLM-72018,08/30/2025,Franchise_NY_12,Dehumidifier Rental,,2425.94,1325.33,0,,$110.27,22.0
CLM-79667,2025-04-05,Franchise_FL_04,Dehumidifier Rental,10.0,731.3,336.37,0,73.13,,
CLM-94831,02/03/2025,Franchise_NY_12,Dehumidifier Rental,,588.76,588.76,1,,$147.19,4.0
CLM-17032,06/06/2025,Franchise_NY_12,Baseboard Replacement,,5561.4,5561.4,1,,$142.6,39.0
CLM-96756,10/17/2025,Franchise_NY_12,Antimicrobial Treatment,,2749.85,2074.08,0,,$63.95,43.0
CLM-79293,2025-10-28,Franchise_FL_04,Antimicrobial Treatment,48.0,6240.48,6240.48,1,130.01,,
CLM-47749,"August 02, 2025",Franchise_TX_01,Water Extraction - MISC,7.0,987.21,987.21,1,,141.03,
CLM-72836,2025-08-21,Franchise_FL_04,Antimicrobial Treatment,18.0,2137.86,2137.86,1,118.77,,
CLM-48428,2025-03-18,Franchise_FL_04,Drywall Repair,36.0,4170.24,4170.24,1,115.84,,
CLM-97275,07/13/2025,Franchise_NY_12,Dehumidifier Rental,,4637.64,3777.11,0,,$110.42,42.0
CLM-15660,09/23/2025,Franchise_NY_12,Water Extraction,,1968.46,1553.03,0,,$75.71,26.0
CLM-78258,"May 04, 2025",Franchise_TX_01,Water Extraction,44.0,6000.28,6000.28,1,,136.37,
CLM-93926,"January 14, 2025",Franchise_TX_01,Water Extraction,22.0,704.44,704.44,1,,32.02,
CLM-56688,"September 19, 2025",Franchise_TX_01,Water Extraction,13.0,840.97,840.97,1,,64.69,
CLM-66828,"December 05, 2025",Franchise_TX_01,Antimicrobial Treatment - MISC,24.0,1446.48,1446.48,1,,60.27,
CLM-23953,"May 14, 2025",Franchise_TX_01,Antimicrobial Treatment,49.0,3414.81,3414.81,1,,69.69,
CLM-40706,03/20/2025,Franchise_NY_12,Antimicrobial Treatment,,2959.6,2959.6,1,,$105.7,28.0
CLM-61218,04/04/2025,Franchise_NY_12,Antimicrobial Treatment,,1370.37,1370.37,1,,$80.61,17.0
CLM-10242,2025-05-26,Franchise_FL_04,Water Extraction,23.0,3111.21,3111.21,1,135.27,,
CLM-65674,"August 02, 2025",Franchise_TX_01,Dehumidifier Rental,27.0,4040.01,4040.01,1,,149.63,
CLM-70952,11/08/2025,Franchise_NY_12,Drywall Repair,,164.25,164.25,1,,$54.75,3.0
CLM-99904,02/28/2025,Franchise_NY_12,Drywall Repair,,1363.78,847.67,0,,$123.98,11.0
CLM-63162,"December 10, 2025",Franchise_TX_01,Water Extraction,26.0,2886.78,2886.78,1,,111.03,
CLM-75641,2025-01-21,Franchise_FL_04,Dehumidifier Rental,7.0,,676.9,0,122.65,,
CLM-19860,2025-12-18,Franchise_FL_04,Antimicrobial Treatment,21.0,1467.06,1467.06,1,69.86,,
CLM-35107,08/15/2025,Franchise_NY_12,Dehumidifier Rental,,2123.4,2123.4,1,,$141.56,15.0
